title,author,length
Learn How to Lead to Win,Mike Manazir,Length: 8 hrs and 32 mins
Beautiful Devils,Eva Ashwood,Length: 12 hrs and 40 mins
It's OK to Be Angry About Capitalism,"Senator Bernie Sanders,John Nichols",Length: 10 hrs and 59 mins
Deadly Force,Massad Ayoob,Length: 10 hrs and 4 mins
The Undercover Secretary,Ellie Midwood,Length: 9 hrs and 6 mins
The Psychopath Test,Jon Ronson,Length: 7 hrs and 33 mins
Hidden Demons,Margery B. Metzger,Length: 7 hrs and 52 mins
Dungeons & Dragons: Honor Among Thieves: The Road to Neverwinter,Jaleigh Johnson,Length: 9 hrs and 18 mins
Simply Lies,David Baldacci,Length: 11 hrs and 45 mins
Dark Angel,John Sandford,Length: 12 hrs
Dempsey,"Brian Andrews,Jeffrey Wilson",Length: 12 hrs and 14 mins
What Lies in the Woods,Kate Alice Marshall,Length: 11 hrs and 16 mins
A Vow of Lust and Fury,LP Lovell,Length: 8 hrs and 1 min
Luke,Adam Hamilton,Length: 5 hrs and 39 mins
From Hoping to Having,Julie Poole,Length: 8 hrs and 47 mins
Vow of Justice,Robin James,Length: 8 hrs and 35 mins
The Nazi Conspiracy,"Brad Meltzer,Josh Mensch",Length: 10 hrs and 42 mins
Snow Leopard,"Category Pirates,Nicolas Cole,Christopher Lochhead,Eddie Yoon",Length: 7 hrs and 26 mins
The House at the End of the World,Dean Koontz,Length: 10 hrs and 22 mins
What You Want Wants You,Suzanne Eder,Length: 6 hrs and 37 mins
I Will Find You,Harlan Coben,Length: 10 hrs and 16 mins
Scattered Minds,Gabor Maté MD,Length: 10 hrs and 59 mins
Sinful Crown,Ava Harrison,Length: 9 hrs and 8 mins
The Wrong Bride,Catharina Maura,Length: 11 hrs and 22 mins
